Wpay	v_sep	SS_tau	SH_tau	FS_tau	SS_TOGW	SS_Spln	SS_Swet	SS_OWEw	SS_OWEv	SS_OEW	SS_mppl	SS_WR	SH_TOGW	SH_Spln	SH_Swet	SH_OWEw	SH_OWEv	SH_OEW	SH_mppl	SH_WR	FS_TOGW	FS_Spln	FS_Swet	FS_OWEw	FS_OWEv	FS_OEW	FS_mppl	FS_WR
100000	1300	0.15	0.24	0.137425378204689	1636037.29163776	636.663708060868	2027.31710396333	235134.036311905	235134.036311904	135134.036311905	1400903.25597908	6.95789226414156	3395583.6660536	624.368729168213	2133.89951123339	312135.529576238	312135.529576238	312135.529576238	3083448.13614744	10.8785554478005	5031620.95769136	1261.03243722908	4161.21661519672	547269.565888143	547269.565888142	447269.565888143	4484351.39212651	17.836447711942
100000	1500	0.15	0.26	0.145117282233234	1522657.86953938	613.34431839583	1953.06157954227	230904.768291976	230904.768291976	130904.768291976	1291753.10177073	6.59431107172861	3596662.20936114	616.717678708353	2176.82913059809	316564.590986189	316564.590986189	316564.590986189	3280097.61790534	11.3615429877577	5119320.07890052	1230.06199710418	4129.89071014036	547469.359278165	547469.359278165	447469.359278165	4571850.71967607	17.9558540594863
100000	1300	0.15	0.22	0.13160833412995	1636037.29163776	636.663708060868	2027.31710396333	235134.036311905	235134.036311904	135134.036311905	1400903.25597908	6.95789226414156	3418064.06751652	663.718598779385	2208.55735434322	320108.67185348	320108.67185348	320108.67185348	3097955.3956629	10.6778240268383	5054101.35915428	1300.38230684025	4235.87445830655	555242.708165385	555242.708165384	455242.708165385	4498858.65164198	17.6357162909798
100000	1500	0.15	0.24	0.13939168609928	1522657.86953938	613.34431839583	1953.06157954227	230904.768291976	230904.768291976	130904.768291976	1291753.10177073	6.59431107172861	3613335.2784711	651.988207463203	2228.29435915076	322058.825536905	322058.825536872	322058.825536905	3291276.45257788	11.2194884648511	5135993.14801048	1265.33252585903	4181.35593869303	552963.593828881	552963.593828848	452963.593828881	4583029.55434861	17.8137995365797
100000	1300	0.15	0.26	0.142849385402686	1636037.29163776	636.663708060868	2027.31710396333	235134.036311905	235134.036311904	135134.036311905	1400903.25597908	6.95789226414156	3380874.31665068	590.71679668431	2085.05378611676	306918.552705927	306918.552705927	306918.552705927	3073955.76394478	11.0155423542938	5016911.60828844	1227.38050474518	4112.37089008009	542052.589017831	542052.589017831	442052.589017831	4474859.01992385	17.9734346184354
100000	1500	0.15	0.28	0.150499333008671	1522657.86953938	613.34431839583	1953.06157954227	230904.768291976	230904.768291976	130904.768291976	1291753.10177073	6.59431107172861	3587236.61280542	586.239721889283	2147.73658931092	313458.597865063	313458.597865063	313458.597865063	3273778.01460716	11.4440523785423	5109894.4823448	1199.58404028511	4100.79816885319	544363.366157039	544363.366157039	444363.366157039	4565531.11637789	18.0383634502709
100000	1300	0.15	0.28	0.147933098866902	1636037.29163776	636.663708060868	2027.31710396333	235134.036311905	235134.036311904	135134.036311905	1400903.25597908	6.95789226414156	3372556.27989698	561.590830128002	2057.43338271301	303968.387854025	303968.387854024	303968.387854025	3068587.89204294	11.0950888798231	5008593.57153473	1198.25453818887	4084.75048667634	539102.42416593	539102.424165928	439102.42416593	4469491.14802201	18.0529811439647
100000	1500	0.15	0.3	0.155581796406298	1522657.86953938	613.34431839583	1953.06157954227	230904.768291976	230904.768291976	130904.768291976	1291753.10177073	6.59431107172861	3583894.26785314	559.6323400174	2137.42058519866	312357.203366037	312357.203366036	312357.203366037	3271537.06448724	11.4737045575782	5106552.13739252	1172.97665841323	4090.48216474093	543261.971658013	543261.971658012	443261.971658013	4563290.16625797	18.0680156293068
110000	1500	0.15	0.28	0.150152403203819	1626039.99968244	644.648836218867	2052.74400781711	246582.240908816	246582.240908815	136582.240908816	1379457.76040784	6.59431107172861	3798662.28120316	609.71893794705	2233.75459445921	324152.502950675	324152.502950504	324152.502950675	3474509.77688032	11.7187504191785	5424702.2808856	1254.36777416592	4286.49860227631	570734.743859491	570734.74385932	460734.743859491	4853967.53728815	18.3130614909071
110000	1500	0.15	0.3	0.155195533434136	1626039.99968244	644.648836218867	2052.74400781711	246582.240908816	246582.240908815	136582.240908816	1379457.76040784	6.59431107172861	3795195.46228454	582.051797973654	2223.04789355472	323010.090938994	323010.090938794	323010.090938994	3472185.37125779	11.7494640838127	5421235.46196698	1226.70063419252	4275.79190137182	569592.33184781	569592.33184761	459592.33184781	4851643.13166563	18.3437751555413
