Wpay	v_sep	SS_tau	SH_tau	FS_tau	SS_TOGW	SS_Spln	SS_Swet	SS_OWEw	SS_OWEv	SS_OEW	SS_mppl	SS_WR	SH_TOGW	SH_Spln	SH_Swet	SH_OWEw	SH_OWEv	SH_OEW	SH_mppl	SH_WR	FS_TOGW	FS_Spln	FS_Swet	FS_OWEw	FS_OWEv	FS_OEW	FS_mppl	FS_WR
140000	1300	0.21	0.26	0.167622970039854	1867158.39498651	579.887853646824	1908.22634804788	268351.150738276	268351.150738275	128351.150738276	1598807.24505706	6.95789226414156	3798065.50760655	639.80456401305	2258.31893736234	328847.007662885	328847.007662797	328847.007662885	3469218.49933831	11.5496428992742	5665223.90259305	1219.69241765987	4166.54528541022	597198.158401161	597198.158401072	457198.158401161	5068025.74439537	18.5075351634157
140000	1300	0.21	0.28	0.174165638246331	1867158.39498651	579.887853646824	1908.22634804788	268351.150738276	268351.150738275	128351.150738276	1598807.24505706	6.95789226414156	3789102.14473669	608.289592577111	2228.51807220533	325667.964457854	325667.964457851	325667.964457854	3463434.17949053	11.634862981553	5656260.53972319	1188.17744622394	4136.74442025321	594019.11519613	594019.115196127	454019.115196129	5062241.42454759	18.5927552456945
140000	1300	0.19	0.28	0.16582203912109	1913915.51473679	626.661478880913	2026.21319809524	275071.162686441	275071.16268644	135071.162686441	1638844.35225797	6.95789226414156	3873128.80161315	617.500720838411	2262.26378484976	329971.744997017	329971.744997013	329971.744997017	3543157.05613725	11.7377589440856	5787044.31634995	1244.16219971932	4288.476982945	605042.907683457	605042.907683454	465042.907683457	5182001.40839522	18.6956512082272
140000	1300	0.19	0.3	0.171519909590488	1913915.51473679	626.661478880913	2026.21319809524	275071.162686441	275071.16268644	135071.162686441	1638844.35225797	6.95789226414156	3869904.52614422	589.512231272356	2251.54175026545	328828.188638319	328828.188638319	328828.188638319	3541076.33750639	11.7687736631401	5783820.04088101	1216.17371015327	4277.75494836069	603899.351324759	603899.351324759	463899.351324759	5179920.68976436	18.7266659272817
140000	1300	0.21	0.3	0.18034634850229	1867158.39498651	579.887853646824	1908.22634804788	268351.150738276	268351.150738275	128351.150738276	1598807.24505706	6.95789226414156	3785923.03123694	580.716666465068	2217.94858573003	324540.425703535	324540.425703464	324540.425703535	3461382.60489378	11.6654898149907	5653081.42622344	1160.60452011189	4126.17493377791	592891.57644181	592891.576441739	452891.576441811	5060189.84995084	18.6233820791322
130000	1300	0.17	0.28	0.15697040002619	1875286.60343146	658.033720509487	2104.31241351927	269519.350435542	269519.350435542	139519.350435542	1605767.25299637	6.95789226414156	3803714.81635459	609.896240061531	2234.40415508162	326418.103280269	326418.103280267	326418.103280269	3477296.71251002	11.6528917286317	5679001.41978605	1267.92996057102	4338.71656860089	595937.453715811	595937.453715809	465937.453715811	5083063.9655064	18.6107839927733
140000	1300	0.19	0.26	0.159782092242318	1913915.51473679	626.661478880913	2026.21319809524	275071.162686441	275071.16268644	135071.162686441	1638844.35225797	6.95789226414156	3882219.39316682	649.48681740233	2292.49439876919	333195.912539993	333195.912539959	333195.912539993	3549023.480765	11.6514616392211	5796134.90790362	1276.14829628324	4318.70759686443	608267.075226434	608267.0752264	468267.075226434	5187867.83302297	18.6093539033626
140000	1300	0.21	0.24	0.1606693796012	1867158.39498651	579.887853646824	1908.22634804788	268351.150738276	268351.150738275	128351.150738276	1598807.24505706	6.95789226414156	3813914.02912005	676.191474073676	2311.01365045663	334468.015632662	334468.015632631	334468.015632662	3479446.01256317	11.4029259897442	5681072.42410656	1256.0793277205	4219.23999850451	602819.166370937	602819.166370907	462819.166370937	5078253.25762023	18.3608182538857
120000	1500	0.17	0.28	0.159428199849903	1652082.58872847	608.68706353687	1946.50776066234	250531.491595866	250531.491595866	130531.491595866	1401551.09725144	6.59431107172861	3851835.73787491	615.555690308047	2255.13800834331	326818.037339877	326818.037339833	326818.037339877	3525017.70110661	11.7858725601511	5503918.32660338	1224.24275384492	4201.64576900565	577349.528935743	577349.528935698	457349.528935743	4926568.79835804	18.3801836318797
120000	1500	0.17	0.26	0.15355843292215	1652082.58872847	608.68706353687	1946.50776066234	250531.491595866	250531.491595866	130531.491595866	1401551.09725144	6.59431107172861	3861699.17810088	647.534920153928	2285.60478470922	330068.311890164	330068.311890157	330068.311890164	3531630.86552854	11.6996968151967	5513781.76682935	1256.2219836908	4232.11254537156	580599.80348603	580599.803486023	460599.80348603	4933181.96277997	18.2940078869253
