Wpay	v_sep	SS_tau	SH_tau	FS_tau	SS_TOGW	SS_Spln	SS_Swet	SS_OWEw	SS_OWEv	SS_OEW	SS_mppl	SS_WR	SH_TOGW	SH_Spln	SH_Swet	SH_OWEw	SH_OWEv	SH_OEW	SH_mppl	SH_WR	FS_TOGW	FS_Spln	FS_Swet	FS_OWEw	FS_OWEv	FS_OEW	FS_mppl	FS_WR
125000	1300	0.195	0.26	0.162019874826531	1748955.67617686	577.181359710935	1873.31680463932	251362.856708702	251362.856708702	126362.856708702	1497592.8194773	6.95789226414156	3584962.99378751	614.964889020895	2170.64230673492	317725.158639025	317725.158639002	317725.158639025	3267237.83469193	11.2832204056082	5333918.66996437	1192.14624873183	4043.95911137424	569088.015347727	569088.015347704	444088.015347727	4764830.65416923	18.2411126697498
125000	1350	0.19	0.265	0.161985794326772	1731607.61326852	584.089496983169	1888.56326348569	252231.227935309	252231.227935309	127231.227935309	1479376.38537784	6.86515951053157	3663830.5645616	616.538163746001	2195.56689432314	320515.876030524	320515.876030524	320515.876030524	3343314.68853098	11.4310423868445	5395438.17783012	1200.62766072917	4084.13015780884	572747.103965834	572747.103965834	447747.103965833	4822691.07390882	18.296201897376
125000	1400	0.195	0.265	0.164427251662852	1690453.80040252	567.443448390482	1841.71115311962	249562.737840272	249562.737840272	124562.737840272	1440891.06377719	6.77366267194666	3700705.09490504	620.884072082222	2211.0431990028	321938.60766161	321938.607661588	321938.60766161	3378766.48694354	11.495064607147	5391158.89530757	1188.3275204727	4052.75435212242	571501.345501881	571501.345501859	446501.345501881	4819657.55072072	18.2687272790936
125000	1450	0.19	0.27	0.164444435247874	1673650.78146458	574.252187275028	1856.75584044131	250419.617039982	250419.617039982	125419.617039982	1423231.16442498	6.68338527647274	3781385.85266935	622.510734950504	2237.24587466698	324860.253181649	324860.253181625	324860.253181649	3456525.5983544	11.6400384919408	5455036.63413392	1196.76292222553	4094.00171510829	575279.870221631	575279.870221607	450279.870221631	4879756.76277937	18.3234237684136
125000	1500	0.19	0.27	0.164911651407207	1645508.11778496	569.445875077575	1841.21537156482	249534.500297781	249534.500297781	124534.500297781	1395973.61779414	6.59431107172861	3842474.30632468	629.478552778235	2262.28756602314	327483.743231451	327483.743231436	327483.743231451	3514990.56274758	11.7333284030021	5487982.42410964	1198.92442785581	4103.50293758795	577018.243529232	577018.243529217	452018.243529232	4910964.18054172	18.3276394747307
125000	1550	0.19	0.27	0.165387521751862	1617905.97514194	564.712716472782	1825.91143354259	248662.855308272	248662.855308271	123662.855308272	1369243.11983366	6.50642402194002	3904364.49307924	636.499198539067	2287.5191160737	330129.19945254	330129.199452506	330129.19945254	3574235.29334404	11.8267772110776	5522270.46822117	1201.21191501185	4113.43054961629	578792.054760811	578792.054760777	453792.054760811	4943478.4131777	18.3332012330176
125000	1600	0.19	0.275	0.16749490583196	1590832.27136052	560.051439271936	1810.83991294873	247804.447796556	247804.447796556	122804.447796556	1343027.82375203	6.41970830505286	3964727.92491572	635.564857307883	2305.86783343247	332042.100371604	332042.100371565	332042.100371604	3632685.82440782	11.9404374335131	5555560.19627624	1195.61629657982	4116.7077463812	579846.548168161	579846.548168121	454846.548168161	4975713.64815985	18.360145738566
125000	1650	0.19	0.275	0.168007131409728	1564275.23605424	555.460797640516	1795.99678156953	246959.048346409	246959.048346409	121959.048346409	1317316.19034774	6.33414830988471	4028308.88097948	642.614112767354	2331.44295960055	334727.330950422	334727.330950419	334727.330950422	3693581.54918198	12.0345980374368	5592584.11703372	1198.07491040787	4127.43974117008	581686.379296831	581686.379296828	456686.379296831	5010897.73952972	18.3687463473215
125000	1700	0.19	0.275	0.168527902182622	1538223.41062412	550.939571364755	1781.37809403207	246126.432193446	246126.432193446	121126.432193446	1292096.97850146	6.24972863331443	4092857.5759672	649.731845036777	2357.26652378653	337440.391180731	337440.39118073	337440.391180731	3755417.18355679	12.1291276376734	5631080.98659132	1200.67141640153	4138.64461781861	583566.823374177	583566.823374175	458566.823374177	5047514.16205825	18.3788562709878
125000	1750	0.19	0.28	0.170716122804387	1512665.6162482	546.486565458962	1766.9799865345	245306.379332746	245306.379332746	120306.379332746	1267359.23761509	6.16643407750918	4156294.78634532	648.911121688542	2377.33832632461	339541.393055656	339541.393055593	339541.393055656	3816753.39292933	12.2409075034445	5668960.40259353	1195.3976871475	4144.31831285911	584847.772388403	584847.772388339	459847.772388403	5084112.63054442	18.4073415809537
